titles,authors,nums,peoples
奥美的数字营销观点,[美]肯特·沃泰姆、[美]伊恩·芬威克/台湾奥美互动营销公司/中信出版社/2009-6/45.00元,7.1,541
传播媒体策略,陈俊良/北京大学/2010-8/56.00元,8.8,66
当代广告学（上下册）,[美]阿伦斯（Arens、W.F.）、、丁俊杰、程坪、钟静、康瑾/人民邮电/2006-6/58.00元,8.5,184
一寫就熱賣,山口拓朗/吳佳玲/先覺/2016-2-1/260.00台幣,8,34
那些让文案绝望的文案,小马宋/北京联合出版公司/2015-10/45,5.8,489
品类影像（上下册）,齐虹/后浪丨北京联合出版公司/2017-2/198.00元（全两册）,7.5,12
广告与促销,[美]乔治·贝尔奇等/中国人民大学出版社/2006-07-12/89.00元,8.5,63
奥美的观点（Ⅰ）,宋秩铭等/企业管理出版社/2000-10/32.00元,7.3,446
广告大师奥格威,（美）大卫·奥格威/庄淑芬/机械工业出版社/2003-7-1/29.80元,7.8,377
小强广告100招,林永强/中信出版社/2009/48.00元,7.7,544
大卫·奥格威自传,大卫.奥格威/海南出版社/1998-09/16.80元,7.9,278
如何成为创意人,成锐/中国建筑工业/2008-8/59.00元,7.9,151
10堂量子创意课,李欣频/云南美术出版社/2011-5-1/25.00元,8,1161
至爱品牌,（美）罗伯茨/丁俊杰/中国人民大学出版社/2005-04/188.00,7.9,201
国际广告商务译丛――增加19倍销售的广告创意法,（美）卡普斯/孟庆姝/内蒙古人民出版社/2000-08/25.80,8.2,46
泛广告时代的幻象,陈小云/复旦大学出版社/2006-12/40.00元,8.1,334
国际4A广告公司基本操作流程,朱海松编著/广东经济出版社/2002-3/18.00元,7.1,247
Damn Good Advice,GeorgeLois/PhaidonPress/2012-3-12/USD12.95,8.5,66
不假思索贪看天下,吴文芳/悦读名品|化学工业出版社/2017-6-1/68.00元,8,37
金牌文案,金牌文案联盟/辽宁科学技术出版社/2011-9-1/48.00元,7.4,195
叶茂中的营销策划,叶茂中/中国人民大学出版社/2007-3/36.80元,7.4,336
广告：艰难的说服,(美)迈克尔·舒德森/陈安全/华夏出版社/2003-1/27.00元,7.9,83
转身看策划,叶茂中/中华工商联合出版社/36.00,8.4,33
￥19.99,弗雷德里克·贝格伯德/孔丽荭/二十一世纪出版社/2005-05-01/19.99,7.8,717
打破界限,电通跨媒体开发项目组/苏友友/中信出版社/2011-10/35.00元,7.8,193
如何做创意,（美）劳伦斯・明斯基，爱米，爱米莉・桑顿・卡尔沃/钱锋/企业管理出版社/2000-10/29.60,7.6,164
智威汤逊的智,唐锐涛，劳双恩等/机械工业出版社/1998-12/39.80元,7.5,540
天才文案的白痴哲学,陈雪凤/互得广告/2006-8,8,25
十年,陈耀福/中信出版社/2015-9-1/88.00元,7.7,119
毛线九日谈第一季,鬼鬼/广东经济出版社/2016-11/59,8,36
孙大伟的异想世界,孙大伟/国际文化出版公司/2003-04/38.00,7.3,243
老莫煲汤,2002-10/80.00元,7.8,37
The Advertising Concept Book,PeteBarry/2008/$33.84,9.2,27
新媒体文案创作与传播,秋叶、叶小鱼、勾俊伟/人民邮电出版社/2017-4/39.80元,7.8,47
广告创意与表现-方法与案例解析,尹小龙/山东文艺出版社/2010/25,8.9,20
從Brand到Icon，文化品牌行銷學,道格拉斯B.霍特(DouglasB.Holt)/楊琲琲、王承志/臉譜/2009/11/20/NT360,7.7,18
李欣頻的創意天龍8部﹝一套八本﹞,,8.6,25
国际4A广告公司媒介策划基础,朱海松/广东经济出版社/2005-5/25.00元,7.4,98
廣告副作用,李欣頻/晶冠/2004/NT$380,8.2,304
Perfect Pitch,JonSteel/Wiley/2006-10-30/USD29.95,9,19
肥皂剧、性和香烟,[美]朱丽安·西沃卡/周向民、田力男/光明日报出版社/1999-4/32.80元,7.8,73
广告-牛津通识读本,[英国]温斯顿•弗莱彻/张罗陆赟/译林出版社/2014-2-1/25.00元,7.5,194
"It's Not How Good You Are, It's How Good You Want to Be",PaulArden/PhaidonPress/2003-6-1/USD12.95,8.3,266
日本創意文案,uedada/方智出版社股份有限公司/2008/11/28/NT$：270元,7.6,61
丰裕的寓言,（美）杰克逊・李尔斯/任海龙/上海人民出版社/2005-01/39.80,7.5,73
形象的修辞,罗兰·巴尔特、让·鲍德里亚等/吴琼、杜予/中国人民大学出版社/2005-12/21.80元,7.5,51
H5+移动营销设计宝典,苏杭/清华大学出版社/2017-4/79.00,7.7,33
热点,【美】马克•舍费尔（MarkShaefer）/曲秋晨/中国人民大学出版社/2017-1/49.00,7.5,109
天下没有怀才不遇这回事,包益民/中信出版社/2010-10/26.00元,7.3,1225
廣告表示：╴╴╴。,陳柔縉/麥田/2015-7/NT$990,8.9,25
如何做广告,肯尼斯・罗曼、简・马斯、詹正茂/詹正茂/新华出版社/2005-5/38.00元,7.7,65
為什麼你的故事被打 ×,D.BGilles/郭玢玢/典藏藝術家庭/2013-7/NT$360,7.4,15
包益民与大明星聊什么？,包益民/广西师范大学出版社/2015-1/88.00,7.2,128
开口之前定胜负,[日]天野畅子/李青/世界图书出版公司·后浪出版公司/2013-10/35.00,7.6,36
奥美有情,庄淑芬/企业管理出版社/2000-10/29.60,7.4,233
感官品牌,[美]马丁·林斯特龙/赵萌萌/天津教育出版社/2011-3/35.00,7.5,184
疯狂哲学课：《广告狂人》与哲学盛宴,威廉姆·艾云(WilliamIrwin)系列主编罗德·理文思(RodCarveth)詹姆斯·B.索斯(JamesB.South)/人民邮电出版社/45.00元,7.3,40
The Attention Merchants,TimWu/Knopf/2016-10-18/USD28.95,8.7,28
软文营销实战108招：小软文大效果,苏航/人民邮电出版社/2016-2/49.80元,7,41
会讲故事，让世界听你的,卢建彰（KurtLu）/中国友谊出版公司/2015-11-18/38.00,7.9,189
广告说服力,[美]斯科特·阿姆斯特朗/吴国华、林升栋、康瑾、杨松/商务印书馆/2016-8/158.00,6.7,10
万达新媒体工作法,万达集团企业文化中心/中信出版社/2017-5,5.9,57
新銳創意180,JimAitchison/賴治怡/台灣培生教育出版股份有限公司/2001.10.1/NTD480.,7.6,10
从象牙塔到广告圈,丁海猛//连超//陈胜/厦门大学出版社/2011-9/30.00元,7.9,184
创意就是权力,叶茂中营销策划机构/机械工业出版社/2003-06-10/98.00元,7.4,49
丑小鸭,谭启明、奥美公司/何辉/中信出版社/2009/39.00元,8,201
广告企划的艺术,乔恩・斯蒂尔/中国三峡出版社/2003-1-1/35.00元,7.4,37
奥美的观点IV,奥美公司/中国人民大学出版社/2006-6/68,8,309
創意筆記本-思考力,高橋宣行/三采文化出版事業有限公司/20080312/NTD250.00,6.9,33
企划圣经,黄治苹/电子工业出版社/2011-4/29.90元,7.8,131
不说话就赢的企划术,（日）天野畅子/李青/世界图书出版公司·后浪出版公司/2011-7-1/28.00元,9,62
日本最創意！博報堂的新人培訓課,[日]高橋宣行/2016-10-1,7.9,12
不做总统就做广告人,阿瑟.舒尔茨、杰弗里.库鲁圣/王晓鹂/中信出版社/2012-4-6/58.00元,8.4,37
