titles,authors,nums,peoples
疯狂过山车,梅里登/袁丽琴/2009-4/29.00元,7.3,10
宏碁的世纪变革,施振荣，张玉文/中信出版社/2005-04/26.00元,7.1,49
尚品宅配凭什么？,段传敏、徐军/浙江大学出版社/2013-6/39.00元,7.1,28
没有不可能,请买家自查/中信出版社/2007-1/30.00元,6.7,50
底特律往事,(美)比尔•弗拉斯科/郭力/中信出版社/2014-1/48.00元,8.1,130
春天的故事：深圳创业史1979-2009（下）,徐天明/2009-4/42.00元,7.8,27
海底捞你学不会,黄铁鹰/中信出版社/2011-3/39.00元,7.2,7025
希望永行,郑作时/广东旅游出版社/2003-01-01/25.00元,7.6,38
德意志银行,弗里德赫尔姆·施瓦茨/杨轩/2008-9/29.00元,6.3,20
苏宁,段传敏/中信出版社/2008年1月第一版/39.00元,6.8,78
春天的故事（上）,徐明天/中信出版社/2008年4月第一版/42.00元,6.8,50
国民政府战时统制经济与贸易研究,郑会欣/上海社会科学院出版社/2009-8/48.00元,7.1,12
解读花旗银行,郑先炳/中国金融/2005-5/46.00元,6.9,30
女人就是要发光,周晓光//胡腾/中信/2009-12/38.00元,8.2,30
南京国民政府时期的国有企业,"张忠民,朱婷/2007-12/66.00元",7,10
刘鸿生企业史料 （上中下）,"上海社会科学院经济研究所编/上海人民出版社/1981/2.10(上),1.95(中),2.45(下)",7.1,10
IBM百年评传,李连利/华中科技大学出版社/2011-9/39.00元,7.3,25
双剑合璧,[美]F·保罗·帕库特/上海远东出版社/2007-8-1/48.00元,6.7,12
怡和洋行(Jadine Matheson),RobertBlake/張青/時報出版社/2001.8.13/NT$260,7.8,10
体验的智慧Ⅱ,浙江大学出版社/2013-1/30.00元,7.1,18
国企改革三十年亲历记,宗寒/上海人民出版社/2008-6/40.00元,7,10
温柔的力量,托马斯·海因里奇等/上海远东/2008-10-21/35.00元,7.6,13
联想喘息,吕彤/浙江人民出版社/2002-06/25.00,6.5,11
美商琼记洋行在华经商情况的剖析（1858-1862）,[美]斯蒂芬·洛克伍德/章克生、王作求/上海社会科学院出版社/1992/5.40元,7.7,10
绩效之鹿,戴维·马吉/宋苗、苏丹/上海远东/2007-8/30.00元,6.2,12
美国企业史,张隆高/东北财经大学出版社/2005年8月1日/26.00,7.1,10
金融城的灰姑娘,彼得·斯托蒙思·达林/刘敬国/2009-9/48.00元,7.1,10
丰田传,读卖新闻特别取材班/李颖秋/中信出版社/2007/1/1/29.80元,7.2,45
上海近代百货商业史,上海百货公司、上海社会科学院经济研究所、上海市工商行政管理局/上海社会科学院出版社/1988-9/3.70元,7.8,10
美国银行,(美)莫里亚·约翰斯顿/曾伏娥、刘颖斐/华夏出版社/2008-1/39.80元,7.7,10
谁人不识宁高宁,韦三水/中信出版社/2008-6/38.00元,7.1,84
从优秀到卓越到陨落,[美]艾伦•沃泽尔/粟志敏赵灿吴咏蓓/上海社会科学院出版社/2016-1-1/48元,6.7,10
听任志强怎么说,任志强/浙江大学出版社/2013-9/32.00,7.6,13
中国互联网风云16年,武帅/2011-9/45.00元,6.3,25
黄光裕如是说,马宁、龚文波、朱甫/中国经济出版社/2008-3-1/39.80元,6.1,43
解读顺驰,郑爱敏/当代中国出版社/2005-02/30.00,6.4,32
李宁,虞立琪/中信出版社/2008-8/39.00元,7.4,75
新鲜,王佳芬/中信出版社/2008-4/38.00元,8.7,41
