titles,authors,nums,peoples
超市里的原始人,[美]杰弗里·米勒（GeoffreyMiller)/苏健/浙江人民出版社/2017-1/69.90,7.4,183
迷恋,[美]莎莉·霍格斯黑德/邱璟旻/中华工商联合出版社有限责任公司/2011-11-1/39.90元,7.4,451
网络营销实战密码,昝辉Zac/电子工业出版社/2009.1/56.00元,8,657
创新的扩散,[美]埃弗雷特·M.罗杰斯/辛欣/中央编译出版社/2002-6/33.00元,8.4,192
销售就是卖故事,【美】保罗•史密斯（PaulSmith）/任海英/北京联合出版公司/2017-6-20/46.00元,7.8,36
从“为什么”开始,[美]西蒙·斯涅克/苏西/海天出版社/2011-7/32.00元,8.1,201
我们在为什么样的广告买单,[英]罗伯特·希思/任永欣、郑昊沫/世界图书出版公司/2016-7,8.2,81
计算广告,刘鹏、王超/人民邮电出版社/2015-9-1/69.00元,8.6,579
战略品牌管理,凯文·莱恩·凯勒(Kevinlanekeller)/中国人民大学出版社/2009-6-1/72.00元,7.8,278
价格游戏,利•考德威尔/钱峰/浙江大学出版社/2013-2/42.00元,7.9,305
数据挖掘技术,[美]MichaelJ.A.B/别荣芳、尹静、邓六爱/机械工业/2006-7/49.00元,8.3,83
街头生意经,（美）布罗茨基，（美）博林翰/李瑜偲/中信出版社/2010-1/29.00元,8.6,1304
视觉锤,（美）劳拉•里斯/王刚/机械工业出版社/2012-12/49.00元,7.2,507
房地产营销19讲,陈利文/2010-4/80.00元,8.8,185
理性的非理性,郑毓煌、苏丹/中国商业出版社/2013-8/39.9,8,397
吸金广告,[美]德鲁·埃里克·惠特曼/焦晓菊/江苏人民出版社/2014-8-1/38.00元,7.5,263
成功销售必读的24本书,孙路弘/中国人民大学出版社/2007-4/32.00元,8.3,154
营销的16个关键词,叶茂中/机械工业出版社/2014-1-1/CNY98.00,7.9,283
MBA教不了的创富课,老雕/当代中国出版社/2011-1-1/28.00元,8.4,3760
商业秀,（美）斯科特·麦克凯恩/王楠岽、徐化/中信出版社/2003-12/23.00元,7.8,191
