titles,authors,nums,peoples
策划文案完全指南,戴国良/汕头大学出版社/2003-3-1/30.00,8.4,10
广告与营销策划,2013-1/88.00元,7.7,11
销售新手入门训练,叶素贞/广东经济出版社有限公/2007-1/22.00元,7,10
Excel人力资源管理实操从入门到精通,齐涛/中国铁道出版社/2016-3-1/CNY55.00,8,10
恩波智业,王力/北京大学出版社/1995-1/15.00元,8.1,10
第三种生存,王志纲//2005-2/35.00元,8.1,121
商业胜经,高路/中国经济/2010-5/42.00元,6.2,13
营销策划,孟韬/机械工业/2008-1/38.00元,7.1,19
数字游戏策划,黄石//丁肇辰//陈妍洁/清华大学/2008-6/38.00元,7.8,21
谋事在人,谭启泰著/人民/2007-4/45.00元,7.4,104
找魂,王志纲工作室/人民（东方）/2006-1/49.00元,7.3,111
世界上最伟大的销售员,【美】乔·吉拉德、斯坦利•H.布朗/贾子达、杜嫦娟/重庆出版社/2015-1/36.00元,6.2,33
图书宣传,乔迪·布兰科/张志强/河北教育出版社/2005-7/28.0,7.9,24
图书出版的艺术与科学,（美）小赫伯特・贝利/王益/河北教育出版社/2004-08/29.00,7.6,18
The Copy Book 全球32位顶尖广告文案的写作之道,英国D&AD协会/赖治怡/滚石文化股份有限公司/1997.12/新台币1800,8.6,737
运营笔记,类延昊/天津人民出版社/2016-12-30/39.80,5.8,266
电视节目策划与编导,张静民/暨南大学出版社/2007-9/33.80元,7.2,19
创意是根钉,张默闻/机械工业出版社/2013-10-23/88.00元,7.1,10
小心广告,刘书宏/2009-7/23.80元,5.8,31
从心策划——驱动用户消费的电商营销新视角、,徐仁义/电子工业出版社/2014-7-1/45.00元,6.6,31
互联网创业前奏曲,黄亮新/2008-7/39.00元,7.6,151
营销管理分析、计划、执行与控制（第九版）,（美）科特勒/清华大学出版社/1997-03/58.00,6.8,11
营销策划文案写作指要,陈建中、吕波/中国经济出版社/2011-3-1/38.00元,6.8,16
游戏架构设计与策划基础,黄石、李志远、陈洪/清华大学出版社/2010-1/39.00元,6.7,47
广告策划,黄升民/中国传媒大学出版社/2006-7/36.00元,6.2,73
谁的生意被策划照亮,叶茂中/中国人大/2008-2/39.80元,7.5,70
房地产策划师案例报告精选,黄福新编/机械工业/2008-5/128.00元,7.4,10
99分的记者会,吴锦屏/上海人民出版社/2004-11/18.00元,6.5,54
大盘时代,王志纲/人民出版/2007-1/36.00元,6.9,35
互联网+时代的7个引爆点,新浪科技/中国铁道出版社/2015-10-1/CNY49.00,7.4,10
全球金牌电视节目解析,张绍刚/北京大学/2011-7/118.00元,7,22
商业计划书写作指南,丹斯洛/清华大学出版社/2003-1/32.00元,8.2,17
出版大冒险,长冈义幸/甄西/国际文化出版公司/2006-6/35.00元,7.4,52
快感制造,创意快枪手/台海出版社/2004-11/19.80元,6.5,40
图书出版面面观,埃弗里特·E·丹尼斯/河北教育出版社/2005-7/25.0,6.7,21
声浪传播,李泊霆、段淳林/南方日报出版社/2009-5/32.00元,7,92
地产策划,黄章林/中国经济出版社/2013-5/58.00元,7.8,31
商业策划与新闻炒作,魏剑美/唐朝华/中国商务出版社/2005-1/25.00元,7.6,20
中国版权经理人实务指南,莱内特·欧文/袁方/法律出版社/2004-1/48.00元,7.1,32
广告与品牌策划,约翰.菲利普.琼斯/机械工业/2000-4/24.00元,7.3,14
玩出来的产业,王志纲/海峡出版发行集团/鹭江出版社/2014-8/58.00,7.2,54
活动创造价值,王伟、浮石/湖南科学技术出版社/2009-9/35.00元,9.3,17
从电视叙事看电视节目的策划-讲好故事与讲好故事,潘知常，孔德明主编/中国广播电视/2007-1/36.00元,7.6,14
破晓,谢雨钢/清华大学出版社/2013-7-1/48.80,5.4,142
创意.策划.操作大型综艺活动IPO,曹琳/2012-3/42.00元,5.5,10
活动策划实战全攻略,欧阳国忠/欧阳国忠/清华大学出版社/2013-7/38.00,7.4,20
电视策划与写作十讲,徐帆、徐舫州/浙江大学出版社/2009-07-06/32.00元,8.8,14
传播媒体策略,陈俊良/北京大学/2010-8/56.00元,6.3,66
国际4A广告公司品牌策划方法,朱海松/2009-6/32.80元,6.6,25
广告策划创意学,复旦大学出版社/2003年1月1日/40.00元,5.8,101
创世学说,王睿杰、刘谦、何铮/电子工业出版社/2016-5-1/99,7.3,32
提案神技,【日】宇佐美清/羊恩惠、黄薇嫔/方言文化出版事业有限公司/2015-4-30/新台币300元,8,10
推手,王志纲工作室/北京大学出版社/2013-1/45.00元,7.5,22
毛线九日谈第一季,鬼鬼/广东经济出版社/2016-11/59,7.3,36
胶带营销,[美]约翰·詹斯奇/南溪/中华工商联合出版社有限责任公司/2012-3-1/36.00元,7.2,10
游戏大师Chris Crawford谈互动叙事,ChrisCrawford/方舟/人民邮电出版社/2015-5-1/CNY59.00,5.9,71
艺术文化经济学,JamesHeilbrun、CharlesM.Gray、唐正茂等译/詹正茂/中国人民大学出版社/2007.10/49.00元,6.8,43
房地产策划师职业培训教程,黄福新/机械工业出版社/2006-9/68.00元,7,10
顶尖策划4,雷鸣雏编/企业管理出版社/2005-1/39.8,6.6,26
电商数据化运营,老夏/电子工业出版社/2015-9/59.00,7.8,237
谋事在人,谭启泰/广州出版社/1996.3/19.80,7.4,26
一位创意总监的告白,林永强/华夏出版/2005-1/36.00元,7.4,141
营销企划手册,屈云波、李奕霏、黄盛/企业管理出版社/2009-1/75.00元,7.6,12
策划总监,程爱学/北京大学出版社/2005-4/48.00元,6.9,10
商业地产策划与投资运营,董金社/商务出版社/2006-6/42.00元,6.6,15
房地产公关活动促销方案56例,余源鹏主编/中国建筑工业/2007-6/38.00元,7.6,10
广告与整合营销传播原理,汤姆·邓肯/机械工业/2006-9/65.00元,7.2,31
营销策划分析,唐纳德·R.莱曼（DonaldR.Lehmann）、拉塞尔·S.温纳（RussellS.Winer）/王永贵/北京大学出版社/2008-12/35.00元,8.7,10
策划思维与创意方法,周培玉/中国经济/2007-4/36.00元,6.4,10
重新认识定位,侯惪夫/人民大学/2007-12/49.00元,8.1,35
一百零一个下午,杨横波/百花文艺出版社/2002-05/16.00,8.5,38
王志纲战略思想库,王志纲/人民出版社/2007-3/407.00元,7.6,10
房地产投资决策分析,盖伦·E.格里尔/上海人民出版社/2005-10/46.00元,7.7,10
麦肯的方法,朱海松/广东经济出版社/2002-4-1/28.00元,6.9,54
房地产开发前期策划,丁祖昱/中国经济/2011-10/58.00元,6.8,14
广告的艺术,(美)乔治.路易斯、等/高志宏/等/海南出版社/1999-07/480.00元,8.5,126
那些全球最强悍的广告语,[法]莱昂纳尔·萨利姆/万洁/世界图书出版公司/2015-1/58.00,7.6,15
广告策划与创意,丁邦清/高等教育出版社/2011-9/36.00元,7.5,10
肥尾理论,（美）伊恩·布雷默（IanBremmer）普雷斯顿·基特（PrestonKeat）/潘永泉等/机械工业出版社/2011-1-1/38.00元,7,25
未来商务生活的样貌,萨姆・希尔/机械工业出版社/2004-2-1/29.80,7.1,10
会议与活动策划专家,罗宾森/罗宾森/中国水利水电出版社/2004-6/29.8,7.4,10
旅游产品设计与经营,史晓明/中国建筑工业出版社/2004-2/22.0,6.9,10
城变,王志纲工作室/人民出版社/2007-4/32.00元,7.3,44
花嫁喜典,金昱冬编/江苏科学技术出版社/2003-10/40.00,7.9,10
畅销书策划88法,要力石/2009-8/22.80元,6.5,34
策划旋风,王志纲/人民出版社/2007-4/45.00元,6.6,47
你的网站价值百万,洛瑞·卡尔韦尔/电子工业/2010-1/28.00元,8,44
活动项目策划与管理,LYNNVANDERWAGEN/宿荣江/旅游教育出版社/2004-5/32.00元,7.9,10
房地产项目精确定位与前期策划实务,余源鹏编/机械工业/2011-7/42.00元,7.2,10
影响力（中小企业版）,崔学良、杨光明/中户工商联合出版社有限责任公司/2012-2-1/29.90元,7.1,21
王志纲策划文库-策划旋风,王志刚/广东经济出版社/1998-04/23.80元,6.1,12
电视节目策划学,胡智锋/复旦大学出版社/2006-7/28.00元,7.3,53
游戏设计概论,潜龙/科学出版社/2006-11/28.00元,6.9,11
台湾的休闲农业,林诗音/远足文化/2005/NT400,7.7,10
提案王 (附CD): 最能凝聚传达力的简报提案与企划技术,住中光夫/提案王(附CD):最能凝聚传达力的简报提案与企划技术/2007年7月,6.3,10
媒体创意与策划,陈勤/2009-3/32.00元,7,15
《新周刊》口述史,新周刊/漓江出版社/2006-12/20.00元,8.3,146
广告策划与创意,饶德江/武汉大学出版社/2005-2/29.00元,6.7,27
婚礼策划实务与主题攻略,曹照、赵楠/人民邮电出版社/2016-9/79.00,7.1,10
图书营销,（英）艾莉森・贝佛斯托克/张美娟/河北教育出版社/2004-08/34.0,7.5,33
聚会筹划,(美国)苏珊娜·威廉姆森等著、王燕等译/苏珊娜·威廉姆森/机械工业出版社/2004-1/39.80元,7,10
廣告X媒體,吳博林/經濟日報出版社(香港)/2009-11/88,7.6,28
广告策划与创意,蒋旭峰杜骏飞/人民大学/2006-10/49.80元,6.1,34
财智时代（王志纲）,王志纲/广东人民出版社/2001-11/25.80,7.6,29
哲学与人生（I+II),傅佩荣/北京理工大学/2011-01-01/22.00元,8.4,66
旅游策划,沈祖祥/复旦大学出版社/2007-6/40.00元,6.8,16
图书选题策划报告,2008-7/36.00元,6.3,10
院线经营管理,俞剑红、吴曼芳/中国电影出版社/2013-9/48.00元,6.5,10
网络广告媒体策略与效果评估,宋安/厦门大学出版社/2008-11/25.00元,6.9,19
前线故事,世联地产/机械工业出版社/2004-6/28.0,6.7,10
策划学,吴粲/中国人民大学出版社/2005-10/39.80元,7.1,24
企划圣经,黄治苹/电子工业出版社/2011-4/29.90元,8.1,131
把事做到点子上,史宪文/清华大学出版社/2007-9-1/29.80元,6.5,17
非常策划,朱玉童/2011-12/48.00元,6.4,10
拳打策划脚踢广告,熊大寻/广东经济/2006-9/45.00元,6.7,28
发现你的销售力量,杰·亚伯拉罕/袁力/中国商业/2006-12/35.00元,6.8,101
