titles,authors,nums,peoples
竞争优势,[美]迈克尔·波特/陈小悦/华夏出版社/2005-8/38.00元,8.7,499
谁动了我的奶酪？,[美]斯宾塞·约翰逊/吴立俊/中信出版社/2001-9/16.80元,7.1,30922
格鲁夫给经理人的第一课,[美]安迪•格鲁夫/巫宗融/中信出版社/2007-1/28.00元,8.7,633
精益创业实战,AshMaurya/张玳/图灵文化发展有限公司/2013-1/39.00元,8.8,577
权力的48条法则,罗伯特·格林/金马、卢安安　张小玲/东方出版中心/2007-7/38.00元,8.3,629
敏捷革命：提升个人创造力与企业效率的全新协作模式,[美]杰夫·萨瑟兰/蒋宗强/中信出版社/2017-4/49.00元,8.4,204
做出好决定,[美]斯蒂芬·P·罗宾斯（StephenP.Robbins）/包云波/北京联合出版公司·后浪出版公司/2016-5/36.00元,8.3,446
系统思考,[美]丹尼斯·舍伍德/机械工业出版社/2008-5-2/38.00元,8,440
市场营销原理,（美）菲利普.科特勒（PhilipKotler）等/何志毅等/机械工业出版社/2006-7/58.00元,8.8,487
现在，发现你的优势,[美]马库斯·白金汉、唐纳德·克利夫顿/方晓光/中国青年出版社/2010-11/38.00元,7.5,3379
每周工作4小时,[美]蒂莫西·费里斯/徐慧玲/湖南文艺出版社/2008-4/38.00元,7.7,2064
第一次把事情做对,杨钢/北京联合出版公司/2017-5/58,9.2,29
瞬变,[美]奇普.希思、[美]丹.希思/焦建/中信出版社/2010-11-1/33.00元,8.2,758
长尾理论,[美]克里斯·安德森/乔江涛/中信出版社/2006-12/35.00元,7.7,11136
联盟,里德•霍夫曼、本•卡斯诺查、克里斯•叶/路蒙佳/中信出版社/2015-2-5/39.00元,7.4,1380
精要主义,[英]格雷戈·麦吉沃恩(GregMcKeown)/邵信芳/浙江人民出版社/2016-4-1/59.90元,7.8,1533
让大象飞,[美]史蒂文·霍夫曼/周海云、陈耿宣/中信出版社/2017-3/69.00,7.8,277
个人的管理,[美]彼得・德鲁克(PeterF.Drucker)/沈国华/上海财经大学出版社/2003-8-1/28.00元,8.6,358
企业运营实战案例,文小芒/海南出版社/2014-11/128.00元,8.9,37
你要如何衡量你的人生,[美]克莱顿•克里斯坦森、[澳]詹姆斯•奥沃斯、[美]凯伦•迪伦/丁晓辉/吉林出版集团有限责任公司/2013-1-1/29.80元,8.1,1223
