titles,authors,nums,peoples
高级技术分析,布鲁斯·巴布科克/广东经济出版社有限公/2007-7/68.00元,8.1,179
不作不死,顽石/中国发展出版社/2014-11-1/CNY55.00,8.2,134
“快”钱游戏,春晓、马赛客/机械工业出版社/2017-5-1/30.00,8,58
振荡指标MACD,凌波/陕西师范大学出版社/2011-4/35.00元,8.6,116
量价分析,[英]安娜·库林/肖凤娟/中国青年出版社/2016-9-1/49.00,7.4,66
短线交易秘诀,拉里·威廉斯/穆瑞年等/机械工业出版社/2007-1/38.00元,7.7,406
低风险投资之路,徐大为/中国经济出版社/2014-6-1/CNY48.00,7.4,722
小乌龟投资智慧,伍治坚/电子工业出版社/2017-2/59.8元,7.8,178
高频交易员,【美】迈克尔•刘易斯/王飞王宇西陈婧译、郑磊校译/中信出版社/2015-5-1/49.00元,7.8,523
系统交易方法,波涛/经济管理出版社/1998-1-1/25.00元,8.6,226
我如何在股市赚了200万,尼古拉斯·达瓦斯/机械工业出版社/2006-1/19.80元,7.7,457
阿佩尔均线操盘术,【美】杰拉尔德·阿佩尔（GeraldAppel）/人民邮电出版社/2017-2-15/55.00,7.6,16
中国股市,华生/东方出版社/2013-1/48.00元,8.5,60
高胜算操盘,马赛尔·林克/广东经济出版社/2006-5/48.00元,8.2,253
投资第一课,那一水的鱼/中国经济出版社/2015-6-1/49.80,7.4,222
沃伦·巴菲特之路,小罗伯特·G·海格士多姆/清华大学出版社/2007-5/28.00元,8.8,287
股市投资致富之道,（美）菲利普·A.费雪著/刘寅龙译/广东经济/2009-7/32.00元,8.1,159
论势,曹仁超/中国人民大学出版社/2009年5月/38.00元,7.8,697
操盘建议-全球顶尖交易员的成功实践和心路历程,阿尔佩西・帕特尔/华夏出版社/2001-01/25.00,8.4,133
股票魔法师,【美】MarkMinervini（马克.米勒维尼）/张泂/电子工业出版社/2015-1/59.00元,8.8,98
股票投资的24堂必修课,威廉·欧奈尔/中国青年出版社/2007-1/39.90元,7.3,286
上市公司公告解读25讲,深圳证券交易所投资者教育中心/机械工业出版社/2011-7/36.00元,8.4,82
股市心理博弈（修订版）,(美)约翰·迈吉/吴溪/机械工业出版社/2003年/58.00,7.4,237
价值投资,布鲁斯·格林威尔/机械工业出版社/2002-1/25,8.9,168
股市极客思考录,彭道富/海天出版社/2015-6-1/CNY49.80,7.5,82
奥马哈之雾,任俊杰、朱晓芸/机械工业出版社/2010-9/39.00元,8.1,294
华尔街证券分析,(美)杰弗里.C.胡克/陈键、林海、谢月兰、于江/经济科学出版社/1999-12/59.80元,8.9,46
股价为什么会上涨,[美]里昂·利维（LeonLevy）、尤金·林登（EugeneLinden）/萧达/群言出版社·后浪出版公司/2016-8/42.00元,7.4,38
时间的玫瑰,但斌/山西人民出版社/2007-10/38.00元,7,997
上市公司财务报表解读,本杰明·格雷厄姆/王玉平/华夏出版社/2004-1/20.00元,7.2,203
巴菲特怎样选择成长股,蒂默西・韦克/刘磊/中国财政经济出版社/2002-5/29.80元,8,143
彼得·林奇教你理财,彼得·林奇、约翰·罗瑟查尔德/宋三江、罗志芳/机械工业出版社/2010-1/36.00元,7.7,753
一个投资家的20年,杨天南/机械工业出版社/2016-7/69.00,7.2,232
从零开始学炒股：股票入门与实战,马涛/人民邮电出版社/2015-5-1/39.80元,7.2,76
看懂股市新闻,袁克成/机械工业出版社/2009-5/32.00元,8.2,220
看盘细节,潘伟君/地震出版社（图书选题策划中心）/2006-1/26.00元,7.3,181
投资存亡战,（美）杰拉尔德·M.勒伯/张捷、本力/上海财经大学出版社/2008-8-1/32.00元,7.8,85
证券混沌操作法,比尔・威廉姆/黄嘉斌/宇航出版社/1999-9-1/19.00,7.7,270
技术分析,（美）马丁·J.普林格/任若恩、马向前、沈沛龙、刘莉亚、邓云胜/中国财经/2003-11/80.00元,7.6,96
长赢投资,约翰·博格/刘寅龙/中信出版社/2008-5/39.80元,7.8,91
以交易为生 II,[美]亚历山大·埃尔德（AlexanderElder）/马福云/机械工业出版社/2013-9-1/55.00元,7.7,108
江恩华尔街45年,威廉・D・江恩/陈鑫/机械工业出版社/2003-1/22.00元,7.4,458
策略投资,王成、韦笑/地震出版社/2012-1/80.00元,9,347
投资的本源,宋军/中国经济出版社/2016-1-1,7.1,122
读懂银行股,那一水的鱼/中国经济出版社/2016-9-1/48,7.8,127
从亏损到赢利,马博/企业管理出版社/2008年6月/36.00元,8,105
逆向投资策略,大卫•德雷曼/郑磊等/机械工业出版社/2013-4/59.00元,7.4,86
股市博弈论,杨新宇/陕西师大/2000-1/27.00,8,92
证券操盘技术,彭冬初/广东经济/2009-2/100.00元,8.3,74
在股市大崩溃前抛出的人,（美）伯纳德·巴鲁克/张伟/机械工业出版社/2008-12-1/48.00元,8.3,244
戴维斯王朝,[英]约翰﹒罗斯查得/胡雍丰、傅晶/东方出版社/2005-1/20.00元,7.9,189
股票投资就问三个问题,肯·费舍/黑龙江科学技术出版社/2008-2/39.80元,8.2,80
股票大作手操盘术(珍藏版),杰西•利弗莫尔、理查德•斯密特/邓力、鞠玮婕/人民邮电出版社/45.00,9.5,66
金融炼金术,[美]乔治·索罗斯/孙忠/等/海南出版社/1999-4/24.80元,8.4,2110
筹码分布,陈浩/中国商业出版社/2002-1-1/45.00,8.4,97
香港股史,郑宏泰/东方出版中心/2007-1/50.00元,8.1,153
亚当理论,威尔斯·威尔德/包文兵/山西人民出版社/2012-4/36.00元,7.4,167
台湾股市大泡沫,江平/兴业全球基金/中信出版社/2009-1/35.00元,7.3,163
动能指标,马丁·J·普林格/经济科学出版社/2000-5/30.00元,8.3,70
巴菲特,沃伦.巴菲特/陈鑫/中国财经出版社/18.00,7.7,100
从零开始学炒股,杨金、等/机械工业出版社/2010-5-1/39.00元,6.8,270
财务报表分析与证券投资,姜国华/北京大学出版社/2008-9/35.00元,8,201
滚雪球,[美]艾丽斯·施罗德/中信出版社/2009-01-01/198.00元,7.7,399
1929年大崩盘,约翰·肯尼斯·加尔布雷思/上海财经大学出版社/2006-10/25.00元,7.6,580
喧哗与骚动,阿奎/中信出版社/2008-10/48.00元,8,109
策略投资方法论,申银万国策略投资团队/山西人民出版社/2014-8-1/98.00,8.5,53
投机教父尼德霍夫回忆录,尼德霍夫/王权、肖静/中国青年出版社/2010-4-1/45.00元,7.5,192
缠中说禅:教你炒股票(配图校注版),培峰/中国宇航出版社/2015-2-1/48.00,7.7,73
憨夺型投资者,莫尼什·帕伯莱/陈龙/机械工业出版社/2008-7/30.00元,8,172
雪球投资,林起/经济科学/2010-12/39.80元,7.5,182
投资策略实战分析,詹姆斯·奥肖内西/马海涌、李闻、高闻酉/机械工业出版社/2014-1/129,7.4,49
炒股入门与技巧,覃维桓/经济管理出版社/2005-4/15.00元,7.1,68
股票投资入门与实战技巧,王坤/团结出版社/2014-10-1/CNY35.00,6.8,99
超额收益,刘哲/中国铁道出版社/2016-5/55,7.3,89
至高无上,约翰·波伊克/荣军/上海财经大学/2006-10/23.00元,7.8,151
投资者的记分牌,周展宏/机械工业出版社/2015-6-1/48.00元,7.3,18
股爷天下,王安/中信/2011-8/68.00元,8.5,84
巴菲特致股东的信,理查德·康纳斯/何正云/中信/2010-8/45.00元,9,48
重塑证券交易心理,BrettN.Steenbarger/清华大学出版社/2004-1/39.00元,8.1,200
陆一良心说股事,陆一/浙江大学出版社/2013-1-1/72.00元,8.2,26
正能量投资学,端宏斌/中国发展出版社/2013-3/42.00元,7.8,28
那些滚雪球的人,王星/浙江人民出版社/2013-7-1,7.6,546
量价秘密,蒂莫西·奥德/益智/上海财经大学出版社/2009-11/29.00元,7.6,82
如果巴西下雨，就买星巴克股票,彼得·纳瓦罗/牛红军/中国人民大学出版社/2011-3/36.00元,7.2,125
赢得输家的游戏,查尔斯·D.埃利斯/王茜/机械工业出版社/2010-6/36.00元,7.9,158
专业投资者选股策略、方法和工具,王成/2007-6/39.80元,7.8,65
巴菲特与索罗斯的投资习惯,马克·泰尔/乔江涛/中信出版社/2005-9/29.00元,7.8,972
百战成精,花荣/经济管理出版社/2012-2/39.80元,6.6,159
证券交易新空间,比尔・威廉姆/地震出版社/2003-1/45.00元,7.7,133
股市操练大全（第二册）,黎航/三联书店上海分店/2001-01/32.80元,8.1,188
华尔街操盘手日记,高山/2008-3/25.00元,6.7,305
巴菲特的投资组合,罗伯特・哈格斯特朗/江春/机械工业出版社/2000-06-01/20.00,8,250
策略为先,刘鹏程/中国铁道出版社/2015-7-1/49.80,7.3,109
股市之神,是川银藏/吕理州/时报文化出版有限公司/1991-7/64.00元,8.4,78
大钱,弗雷德里克·科布里克/中信出版社/2009-11/36.00元,7.3,89
技术交易系统的新概念,威尔斯·威尔德/浙江大学/1997-10-1/30.00,7.9,20
出师,扬韬/孙成钢/新世纪出版社/2009-4-1/35.00元,7.6,94
安东尼·波顿的成功投资,安东尼·波顿/寇彻/机械工业出版社/2010-3-1/28.00元,7.7,236
黄金游戏,占豪/上海财经大学出版社/2008-6/25.00元,7.5,258
股市风云二十年,肖宾/机械工业出版社/2010-1/38.00元,7.5,122
非理性繁荣,(美)罗伯特.J.希勒/廖理/中国人民大学出版社/2004-11/29.00元,8.1,1173
估值,（美）埃斯瓦斯·达莫达兰/李必龙、李羿、郭海/机械工业出版社/2013-6/99.00,8.7,137
股票短线交易的24堂精品课,高山、何江涛、魏强斌、杨基泓、等/经济管理出版社/2013-4-1/128.00元,7.6,23
中国式价值投资,李驰/中国人民大学出版社/2010年5月/39.80元,7.3,461
技术分析与股票盈利预测,沙巴克/地震出版社北京发行部（原地震出版社）/2007-5/68.00元,8.5,27
中国株式市場の真実―政府・金融機関・上場企業による闇の構造,"張志雄、高田勝巳/ダイヤモンド社/2007-6-29/JPY2,520",8.5,70
格雷厄姆,[美]本杰明·格雷厄姆/上海远东出版社/2015-12/58.00元,7.7,10
聪明投资者的成功之道,陈晓虎/中国铁道出版社/2015-7-1/69.80,9.1,29
价值评估,蒂姆·科勒/高建、魏平、朱晓龙等/电子工业出版社/2007-2/88.00元,8,433
滚雪球（上）,[美]艾丽斯·施罗德/覃扬眉、丁颖颖、张万伟、张春明、张艳云/中信出版社/2009-1/39.00,7.9,2310
股票买卖原则,威廉·欧奈尔/中国劳动/2005-9/29.00元,8.2,97
荣辱二十年,阚治东/中信出版社/2010-1-1/38.00元,7,1412
股票入门与技巧,杉村富生、于广涛/科学出版社/2012-1/28.00元,6.4,21
选股决定盈亏,拉里·威廉姆斯/中国青年出版社/2007-8/36.00元,7.6,24
精明交易者,佩里·J·考夫曼/江宁/广东经济出版社/2006-9/45.00元,7.5,71
缠论解盘,缠中说禅、股海盗贼/九州出版社/136.00,7.2,32
格雷厄姆之道,姜开舰/中国经济出版社/2017-4/48,7.2,53
