titles,authors,nums,peoples
穷爸爸富爸爸(5DVD),黑龙江文化电子音像出版社/81.0,8.3,149
24堂财富课,陈志武/当代中国出版社/2009年/25.00元,7.9,1645
滚雪球（上）(纪念版),[美]艾丽斯•施罗德/中信出版社/2013-7,8.2,204
明天过得怎么样，取决于今天的你怎么做,三公子/现代出版社/2016-2-1/36.00,7,326
钱不要存银行,胜间和代/中信出版社/2010-6/25.00元,6.9,781
选择做富人,徐建明/2015-3-1,8.2,128
价值投资,布鲁斯·格林威尔/机械工业出版社/2002-1/25,8.9,168
30年后，你拿什么养活自己3,【韩】高得诚/广西科学技术出版社/2014-3/32.00,6.9,264
小乌龟投资智慧,伍治坚/电子工业出版社/2017-2/59.8元,7.8,178
金钱的灵魂,[美]琳内•特威斯特、[美]特蕾莎•巴克/艾琦/华夏出版社/2014-8/39.00元,7.6,175
卖竹竿的小贩为什么不会倒？,[日]山田真哉/赵博/中国广播电视出版社/2007-1/18.00元,7.4,967
资产配置的艺术,戴维·达斯特/中国人民大学出版社/2009-11/36.00元,6.8,68
哈佛商学院启示录,丘凯怡/艾菁等/机械工业出版社/2004-1/9.80元,8.5,166
投资学,ZviBodie、AlexKane、AlanJ.Marcus/朱宝宪/机械工业出版社/2005-7/89.00元,8.4,1464
百箭穿杨,小小辛巴/机械工业出版社/2014-5/49.00,7.7,534
巴菲特法则,(美)玛丽·巴菲特//戴维·克拉克|译者:李凤/李凤/中信/2008-10/42.00元,7.5,158
创造金钱,萨娜娅·罗曼、杜恩·派克/万源一/天津科学技术出版社/2009-9/28.80元,8.5,225
钱包君，是时候该醒醒了啊！,倾心蓝田/武汉大学出版社/2016-10/38,7.3,107
有钱没钱看习惯,【韩】郑恩吉/刘川/广西科学技术出版社/2016-2-15/36.80元,6.8,194
五大关键数字力,林明樟（MJ老师）/商周出版/2017-1-17/420,9.6,41
低风险投资之路（第二版）,徐大为、刘颖/中国经济出版社/2016-4-1/58.00,7.8,130
机构投资的创新之路,大卫·F·史文森/中国人民大学出版社/2010-3-1/58.00元,8.9,286
30年后，你拿什么养活自己2,[韩]高得诚/唐建军/广西科学技术出版社/2011-1/28.00元,6.9,1394
巴菲特与索罗斯的投资习惯,马克·泰尔/乔江涛/中信出版社/2005-9/29.00元,7.8,972
犹太致富金律,RabbiDanielLapin[美]丹尼尔·拉平/刘真如/中信出版集团/2017-4/49,7.3,72
鹏城楼市风云录,蔡拥富/2013-6-30,8.6,75
富爸爸房地产投资指南,罗伯特·清崎/宋宏宇/南海出版社/2011-3/45.00元,7.7,142
巴比伦富翁的理财课,乔治・克拉森、比尔李/比尔李/中国社会科学出版社/2005-1-1/28.00元,7.7,987
99%的人一看就会的理财书,【美】卡尔•理查兹（CarlRichards）/中信出版社/2016-8/39.00,7.1,113
小狗钱钱2,博多·舍费尔/王景楠/南海出版公司/2011-12/28.00元,7.3,1109
个人理财,卡普尔/上海人民/2006-11/65.00元,7.9,83
拿工薪，三十几岁你也能赚到600万,【加拿大】安德鲁•哈勒姆/孟波、刘寅龙/2012-7-15/36.00元,7.7,292
管道的故事,（美）哈吉斯/江雅苓/中国对外翻译出版社/2002-04/11.80元,7.5,519
估值,（美）埃斯瓦斯·达莫达兰/李必龙、李羿、郭海/机械工业出版社/2013-6/99.00,8.7,137
不再為錢煩惱,松浦彌太郎/王蘊潔/遠見天下文化出版股份有限公司/2013-7-25/NT$260,7.6,98
投资第一课,那一水的鱼/中国经济出版社/2015-6-1/49.80,7.4,222
穷思维 富思维,童大焕/东方出版社/2012-11/42.00元,8.1,98
积极资产配置投资者理财指南,马丁·J·普林格/张晔明/中国青年出版社/2008-1/43.80元,8.1,42
小白理财,李淼/浦睿文化·湖南科技出版社/2015-11/46.00,6.6,181
轻松读懂财报,胜间和代/中信/2009-11/22.00元,8.1,316
投资魔法书,端宏斌/中信出版社/2008-7-1/39.00元,8.4,222
全中国最穷的小伙子发财日记,重庆老康/上海锦绣文章出版社/2010-04/22.00,7.6,1888
沃伦·巴菲特之路,小罗伯特·G·海格士多姆/清华大学出版社/2007-5/28.00元,8.8,287
论势,曹仁超/中国人民大学出版社/2009年5月/38.00元,7.8,697
怪诞创富学,午堂登纪雄/曹逸冰/印刷工业出版社/2011-12-1/36.00元,7.9,59
股票大作手操盘术,杰西·利弗莫尔/丁圣元/企业管理出版社/2003-8-1/20.00元,8.6,1119
投资银行、对冲基金和私募股权投资,(美)戴维·斯托厄尔/黄嵩、赵鹏/机械工业出版社/2013-4/99.00元,8.7,163
富爸爸不公平的优势,罗伯特·清崎/宋宏宇苑立文/南海出版社/2012-5/29.80元,7.9,173
股票操作学,张龄松、罗俊（编）/中国大百科全书出版社/1997-1/36.80,7.7,207
膨胀吧，钱包君,[韩]高敬镐/崔英梅/广东人民出版社/2016-9-1/39.80元,6.9,87
街头生意经,（美）布罗茨基，（美）博林翰/李瑜偲/中信出版社/2010-1/29.00元,8.6,1304
富裕，屬於口袋裝滿快樂的人,DavidCameronGikandi/謝佳真/李茲文化有限公司/2015-10-1/NT$360,9.4,35
救救你的钱包,马克·费奥伦蒂诺/张卉，《钱经》杂志/山西人民出版社/2011-10/29.00元,6.3,129
股价为什么会上涨,[美]里昂·利维（LeonLevy）、尤金·林登（EugeneLinden）/萧达/群言出版社·后浪出版公司/2016-8/42.00元,7.4,38
投资的护城河,[美]希瑟·布里林特（HeatherBrilliant）、[美]伊丽莎白·柯林斯（ElizabethCollins）/汤光华、张坚柯、罗维/人民邮电出版社/2016-10-1/CNY59.00,7.6,102
我用死薪水輕鬆理財賺千萬,AndrewHallam/丁惠民/大是文化有限公司/NT$300,7.9,10
富爸爸年轻退休,[美]罗伯特·T.清崎、莎伦·L.莱希特/李钊平/电子工业出版社/2003-4/28.00元,6.9,637
我的钱：互联网金融，如何理财？,羿飞/江苏凤凰文艺出版社/2015-1/58.00,6.4,190
一个投资家的20年,杨天南/机械工业出版社/2016-7/69.00,7.2,232
股市操练大全,黎航/上海三联书店/1999-11/29.80元,8.2,352
学会估值，轻松投资,[美]阿斯沃斯·达摩达兰/陈召强/中信出版社/2015-11-15/38.00元,6.8,53
股票投资的24堂必修课,威廉·欧奈尔/中国青年出版社/2007-1/39.90元,7.3,286
我如何在股市赚了200万,尼古拉斯·达瓦斯/机械工业出版社/2006-1/19.80元,7.7,457
楼市探秘,杨红旭/机械工业出版社/2013-7-24/38,7.9,66
时间的玫瑰,但斌/山西人民出版社/2007-10/38.00元,7,997
投资之道,理森/中信出版社/2012-8/46.00元,8.6,179
学习学习再学习,张志雄/上海财经大学出版社/2006-1/33.00元,7.5,149
苏黎世投机定律,马克斯·贡特尔/高颖/中国经济出版社/2007-4/29.80元,7.7,231
分级基金与投资策略,刘明军、郑志勇/电子工业出版社/2015-11/49.80元,7.9,85
股票魔法师,【美】MarkMinervini（马克.米勒维尼）/张泂/电子工业出版社/2015-1/59.00元,8.8,98
价值平均策略,迈克.E.埃德尔/顾安/上海财经大学出版社/2008-1/29.00元,8.3,89
明明白白看年报,袁克成/机械工业/2009-4/32.00元,8,286
当大脑遇到金钱,贾森·茨威格/刘寅龙/广东经济出版社/2009-11/35.00元,7.9,164
金融的解释,王福重/中信出版社/2014-11/49.00元,7.5,1170
穷人缺什么,古古/当代中国/2005-10/25.00元,6.4,393
从零开始学炒股：股票入门与实战,马涛/人民邮电出版社/2015-5-1/39.80元,7.2,76
房地产赚钱笔记,王派宏//邵慧怡/中国青年/2010-7/23.00元,7.6,83
期货市场技术分析,[美]约翰.墨菲/丁圣元/地震出版社/1994-5-1/80.00元,9.1,1895
读懂银行股,那一水的鱼/中国经济出版社/2016-9-1/48,7.8,127
巴菲特致股东的信,理查德·康纳斯/何正云/中信/2010-8/45.00元,9,48
格雷厄姆投资指南,[美]本杰明·格雷厄姆/王大勇、包文彬/江苏人民出版社/2001-9/17.00元,8,264
巴菲特怎样选择成长股,蒂默西・韦克/刘磊/中国财政经济出版社/2002-5/29.80元,8,143
外汇短线交易的24堂精品课,魏强斌、MartinTaylor、王浩、Bull/经济管理出版社/2009年09月/68.00元,7.8,203
零基础学理财,王在全/文化发展出版社/2017-5-1/45,6.2,46
专业投机原理,维克托·斯波朗迪/机械工业出版社/2008-3/68.00元,8.6,1130
有钱人为何用长钱包,龟田润一郎/安潇潇/北方文艺出版社/2012-1/29.00元,6.3,1066
华莱士财富宣言,(美)沃勒斯.华莱士/郑向仪/中国和平出版社/2003-09/18.00,9.4,18
富人的28个理财习惯,朴容锡/徐涛/中信出版社/2007-7/29.00元,7.2,448
祖鲁法则,吉姆·斯莱特/刘静/浙江人民出版社/2013-6/45.90元,8.1,194
证券分析实践,林森池/当代世界出版社/2005-10/38.00元,8.2,375
保险是怎样骗人的和并不骗人的保险,谭笑/中信出版社/2005-9/24.00元,7,54
一个证券分析师的醒悟,张化桥/中信出版社/2010-9/30.00元,7.9,1847
教你炒股票,缠中说禅/科学技术文献出版社/2013-10/86.00元,8.9,180
Your Money or Your Life,VickiRobin、JoeDominguez、MoniqueTilford/PenguinBooks/2008-12/USD16.00,8.1,24
抠门兔的精致生活,X兔/万卷出版公司/2009-9/24.80元,7,1213
为什么中国人勤劳而不富有,陈志武/中信出版社/2008年10月第一版/36.00元,7.5,1396
可转债投资魔法书（第2版）,安道全/电子工业出版社/2014-6/49.00元,7.9,111
理财有道,刘彦斌/人民出版社/2007-11/23.00元,6.8,360
雪球投资,林起/经济科学/2010-12/39.80元,7.5,182
股票投资入门与实战技巧,王坤/团结出版社/2014-10-1/CNY35.00,6.8,99
财富公式,威廉·庞德斯通/万卷出版公司/2008-1/32.00元,7.7,202
巴菲特的投资组合(珍藏版),（美）罗伯特•哈格斯特朗/江春/2013-10/35.00,7.6,76
半斤非八两,盖瑞・贝斯基、托马斯・季洛维奇/李红艳/中国商业出版社/2003-1-1/19.80,7.5,86
长赢投资,约翰·博格/刘寅龙/中信出版社/2008-5/39.80元,7.8,91
银行行长不轻易说的理财经,宗学哲/2012-11/32.00元,7.2,75
憨夺型投资者,莫尼什·帕伯莱/陈龙/机械工业出版社/2008-7/30.00元,8,172
看懂股市新闻,袁克成/机械工业出版社/2009-5/32.00元,8.2,220
我懂你的理财焦虑,王诗文/电子工业出版社/2017-4/49,7.7,40
我是银行客户经理,王团结/中国发展出版社/2014-9/49.80元,7.4,59
超额收益,刘哲/中国铁道出版社/2016-5/55,7.3,89
巴菲特传,RogerLowenstein/蒋旭峰、王丽萍/中信出版社/2008-9/49.00元,8.2,1976
非理性亢奋,陈志武/中信出版社/2008年10月第一版/38.00元,7.7,340
菜鸟看财务报表一学就会,耐力投资/中国铁道出版社/2013-10-1/39.80元,7.5,155
老二非死不可,方三文/机械工业出版社/2013-12/39.00,7.4,493
钱多多的省钱计划,红茶/2009-3/22.80元,7,376
金融市场技术分析,（美）约翰·墨菲/丁圣元/地震出版社/2010-6/80.00元,8.9,432
上班族小奥的千万富翁养成记,小奥/新星出版社/2011-3/25.00元,7.2,309
理财·投资,(美)埃里克・泰森/机械工业出版社/2006-1-1/39.80元,7.6,24
让你赚大钱,"Donald.Trump、Kiyosaki,R.T/陈秀玲、陈正芬/中信出版社/2008/39.00元",6.7,213
股市趋势技术分析,爱德华/中国发展出版社/2004-02-01/68.00元,8,498
听故事学会计,朱迪丝·奥洛夫、达雷尔·穆利斯/黄屹/机械工业/2009-8/28.00元,8.8,200
投资者文摘,张志雄、《Value》杂志社编辑/《Value》杂志社/2006-1-1/50,8.2,10
投机者的扑克,扁虫鱼/机械工业出版社/2010-8/38.00元,7.5,421
谁赚走了你的薪水,蒂姆·哈福德/吕敬娇/中信出版社/2008-11/36.00元,7.4,159
富爸爸商学院,莎伦・L・莱希特、李钊平、王东、罗伯特・T・清崎/李钊平、王东/电子工业出版社/2004-7-1/18.00,7.2,566
不会存钱的女孩，等着瞧！,池田晓子/林佩仪/现代出版社/2009-10/23.80元,7.3,277
策略为先,刘鹏程/中国铁道出版社/2015-7-1/49.80,8.6,109
笑傲股市,（美）欧奈尔/宋三江/机械工业出版社/2010-1-1/58.00元,6.8,627
从零开始学炒股,杨金、等/机械工业出版社/2010-5-1/39.00元,7.2,270
富爸爸女人一定要有钱,金·清崎/南海出版公司/2008-11/25.00元,7.3,696
中国式价值投资,李驰/中国人民大学出版社/2010年5月/39.80元,8.7,461
The Millionaire Fastlane,"DeMarco,MJ/ViperionPublishing/2011-12-4/USD22.95",8,192
省钱妙招1000例,主妇之友社编/吉林科学技术出版社/2007-4/29.80元,7.4,114
看懂经济数据，学会投资理财,冯少杰/2013-2/32.00元,7,25
非富不可：曹仁超给年轻人的投资忠告,曹仁超/中国人民大学出版社/2013-7/42.80元,7.7,127
巴菲特,沃伦.巴菲特/陈鑫/中国财经出版社/18.00,7.7,100
论性,曹仁超/中国人民大学出版社/2010.6/39.80元,7.5,272
思危：犹太人的赚钱哲学,亚伯拉/重庆出版集团重庆出版社/2007年12月/29.80元,7.6,104
环球投资旅行,（美）克里斯托弗•迈耶/徐梦蔚、钟娜/机械工业出版社/2013-5/59.00元,7.5,50
The Total Money Makeover,DaveRamsey/ThomasNelson/2009-12-29/USD24.99,7.2,38
玩的就是信用卡,龙飞/人民邮电出版社/2015-1-1/39.80,7.8,33
穷爸爸富儿子,刘子仲/天津科学技术出版社/2009-6/29.80元,8.5,104
幸福女人的投资理财书,她理财网/电子工业出版社/2015-6/42.00,7.7,28
爱嘉定投魔法,嘉实基金管理有限公司/北京大学出版社/2012-11/49.00元,7.4,76
投资丛林,加里斯洛夫斯、托米/王飞、侯贝贝/中信出版社/2009年/39.00元,7.8,115
租屋達人顏福榮── 教你月薪3萬也能賺上千萬,顏福榮/I’m我識/2008-6-11/NT220,8,21
论战,曹仁超/中国人民大学出版社/2009.09/39.80元,7.7,378
亿万富翁想的和你不一样,（美）斯科特•安德森（ScotAnderson）/刘祥亚/重庆出版社/2009年10月/26.80元,7.7,165
"价值投资,从看懂财报开始",孙旭东/机械工业出版社/2012-7-1/30.00元,7.6,108
炒股入门与技巧,覃维桓/经济管理出版社/2005-4/15.00元,7.1,68
